_step,charts/episodic_return,_runtime,global_step,_timestamp,charts/episodic_length,losses/value_loss,losses/entropy,losses/clipfrac,charts/SPS,charts/learning_rate,losses/policy_loss,losses/old_approx_kl,losses/approx_kl,losses/explained_variance
0,0.0,10.2190636,400,1779545216.8852127,,,,,,,,,,
3,,10.2196567,400,1779545216.8857145,100.0,,,,,,,,,
4,0.0,10.2196567,400,1779545216.886024,,,,,,,,,,
5,,10.2196567,400,1779545216.886024,100.0,,,,,,,,,
9,,10.2201631,512,1779545217.0798457,,0.027465694,,,,,,,,
11,,10.2201631,512,1779545217.0798457,,,1.9452361,,,,,,,
14,,10.2201631,512,1779545217.0798457,,,,0.0,,,,,,
16,,10.2201631,512,1779545217.0824523,,,,,1260.0,,,,,
17,0.0,10.2201631,804,1779545217.254708,,,,,,,,,,
18,,10.2201631,804,1779545217.254708,100.0,,,,,,,,,
19,0.0,10.2201631,804,1779545217.2552183,,,,,,,,,,
21,0.0,10.2201631,804,1779545217.2559958,,,,,,,,,,
25,,10.2201631,1024,1779545217.5708416,,,,,,0.00024974384,,,,
26,,10.2201631,1024,1779545217.5708416,,0.009988809,,,,,,,,
27,,10.2201631,1024,1779545217.5708416,,,,,,,-0.006370699,,,
33,,10.220675,1024,1779545217.572814,,,,,1142.0,,,,,
34,0.0,10.220675,1208,1779545217.6879294,,,,,,,,,,
35,,10.220675,1208,1779545217.6879294,100.0,,,,,,,,,
36,0.0,10.220675,1208,1779545217.68844,,,,,,,,,,
39,,10.2211827,1208,1779545217.6889536,100.0,,,,,,,,,
42,,10.2211827,1536,1779545218.0116768,,,,,,0.0002494877,,,,
44,,10.2211827,1536,1779545218.0116768,,,,,,,-0.006754447,,,
45,,10.2211827,1536,1779545218.0116768,,,1.9446995,,,,,,,
46,,10.2211827,1536,1779545218.0116768,,,,,,,,-0.00030312128,,
48,,10.2211827,1536,1779545218.0126755,,,,0.0,,,,,,
50,,10.2211827,1536,1779545218.014116,,,,,1148.0,,,,,
51,0.0,10.2211827,1612,1779545218.0576863,,,,,,,,,,
52,,10.2211827,1612,1779545218.0576863,100.0,,,,,,,,,
53,0.0,10.2211827,1612,1779545218.0585678,,,,,,,,,,
56,,10.2211827,1612,1779545218.0592995,100.0,,,,,,,,,
57,0.0,10.2211827,1612,1779545218.059811,,,,,,,,,,
58,,10.2211827,1612,1779545218.059811,100.0,,,,,,,,,
59,0.0,10.2211827,2016,1779545218.264886,,,,,,,,,,
62,,10.2211827,2016,1779545218.26597,100.0,,,,,,,,,
63,0.0,10.2211827,2016,1779545218.2664974,,,,,,,,,,
66,,10.2217429,2016,1779545218.2670166,100.0,,,,,,,,,
68,,10.2217429,2048,1779545218.4236884,,0.0017334211,,,,,,,,
70,,10.2217429,2048,1779545218.4236884,,,1.9443799,,,,,,,
71,,10.2217429,2048,1779545218.4236884,,,,,,,,-0.00029324833,,
72,,10.2217429,2048,1779545218.4236884,,,,,,,,,0.00050927605,
73,,10.2217429,2048,1779545218.4236884,,,,0.0,,,,,,
74,,10.2217429,2048,1779545218.4236884,,,,,,,,,,-6.574097
76,0.0,10.2217429,2420,1779545218.6333742,,,,,,,,,,
77,,10.2217429,2420,1779545218.6333742,100.0,,,,,,,,,
79,,10.2217429,2420,1779545218.6348045,100.0,,,,,,,,,
82,0.0,10.2217429,2420,1779545218.6353378,,,,,,,,,,
83,,10.2217429,2420,1779545218.6353378,100.0,,,,,,,,,
85,,10.2217429,2560,1779545218.8586187,,0.0013364522,,,,,,,,
87,,10.2217429,2560,1779545218.8586187,,,1.9433498,,,,,,,
88,,10.2222575,2560,1779545218.8586187,,,,,,,,0.0022718515,,
91,,10.2222575,2560,1779545218.859618,,,,,,,,,,-3.9548688
93,0.0,10.2222575,2824,1779545219.0419884,,,,,,,,,,
94,,10.2222575,2824,1779545219.0419884,100.0,,,,,,,,,
96,,10.2222575,2824,1779545219.042611,100.0,,,,,,,,,
99,0.0,10.2222575,2824,1779545219.0436962,,,,,,,,,,
100,,10.2222575,2824,1779545219.0436962,100.0,,,,,,,,,
102,,10.2222575,3072,1779545219.4407604,,0.0008691963,,,,,,,,
103,,10.2222575,3072,1779545219.4407604,,,,,,,-0.0065080635,,,
105,,10.2222575,3072,1779545219.4407604,,,,,,,,-0.0033111973,,
107,,10.2222575,3072,1779545219.4407604,,,,0.0,,,,,,
108,,10.2222575,3072,1779545219.4407604,,,,,,,,,,-3.0646496
117,,10.2227715,3228,1779545219.5343025,100.0,,,,,,,,,
118,,10.2227715,3584,1779545219.9111474,,,,,,0.00024846313,,,,
121,,10.2227715,3584,1779545219.9111474,,,1.9390231,,,,,,,
123,,10.2227715,3584,1779545219.9111474,,,,,,,,,0.00061894767,
125,,10.2227715,3584,1779545219.9111474,,,,,,,,,,-6.0765443
127,0.0,10.2227715,3632,1779545219.9474785,,,,,,,,,,
135,0.0,10.2227715,4036,1779545220.1829052,,,,,,,,,,
136,,10.2227715,4036,1779545220.1833854,100.0,,,,,,,,,
138,,10.2227715,4036,1779545220.183887,100.0,,,,,,,,,
139,0.0,10.2227715,4036,1779545220.183887,,,,,,,,,,
142,,10.2227715,4036,1779545220.1844027,100.0,,,,,,,,,
143,,10.2227715,4096,1779545220.3896818,,,,,,0.00024820695,,,,
145,,10.2227715,4096,1779545220.3896818,,,,,,,-0.008072401,,,
146,,10.2227715,4096,1779545220.3896818,,,1.9379705,,,,,,,
148,,10.2227715,4096,1779545220.3896818,,,,,,,,,0.00075229956,
149,,10.2227715,4096,1779545220.3896818,,,,0.0,,,,,,
150,,10.2227715,4096,1779545220.3896818,,,,,,,,,,-18.096767
152,0.0,10.2227715,4440,1779545220.5650396,,,,,,,,,,
153,,10.2227715,4440,1779545220.5650396,100.0,,,,,,,,,
154,0.0,10.2227715,4440,1779545220.5660462,,,,,,,,,,
156,0.0,10.2227715,4440,1779545220.5667992,,,,,,,,,,
157,,10.2227715,4440,1779545220.5667992,100.0,,,,,,,,,
159,,10.2232878,4440,1779545220.5676358,100.0,,,,,,,,,
162,,10.2232878,4608,1779545220.756163,,,,,,,-6.9625676e-05,,,
163,,10.2232878,4608,1779545220.756163,,,1.9405385,,,,,,,
166,,10.2232878,4608,1779545220.756163,,,,0.0,,,,,,
167,,10.2232878,4608,1779545220.756163,,,,,,,,,,-4.912343
169,0.0,10.2232878,4844,1779545220.8787928,,,,,,,,,,
170,,10.2232878,4844,1779545220.8787928,100.0,,,,,,,,,
171,0.0,10.2232878,4844,1779545220.8787928,,,,,,,,,,
172,,10.2232878,4844,1779545220.8787928,100.0,,,,,,,,,
173,0.0,10.2232878,4844,1779545220.879793,,,,,,,,,,
174,,10.2232878,4844,1779545220.879793,100.0,,,,,,,,,
175,0.0,10.2232878,4844,1779545220.879793,,,,,,,,,,
177,,10.2232878,5120,1779545221.122428,,,,,,0.00024769467,,,,
184,,10.2238007,5120,1779545221.122428,,,,,,,,,,-2.9459758
185,,10.2238007,5120,1779545221.123436,,,,,1151.0,,,,,
187,,10.2238007,5248,1779545221.1902146,100.0,,,,,,,,,
189,,10.2238007,5248,1779545221.1910155,100.0,,,,,,,,,
192,0.0,10.2238007,5248,1779545221.1915321,,,,,,,,,,
193,,10.2238007,5248,1779545221.1915321,100.0,,,,,,,,,
194,0.406,10.2243134,5516,1779545221.3348212,,,,,,,,,,
195,,10.2243134,5516,1779545221.335496,66.0,,,,,,,,,
196,,10.2243134,5632,1779545221.508313,,,,,,0.00024743853,,,,
197,,10.2243134,5632,1779545221.508313,,0.0013971713,,,,,,,,
202,,10.2243134,5632,1779545221.508313,,,,0.0,,,,,,
209,0.0,10.2248198,5652,1779545221.5245857,,,,,,,,,,
211,0.0,10.2248198,5920,1779545221.667437,,,,,,,,,,
213,0.0,10.2248198,6056,1779545221.7389238,,,,,,,,,,
221,,10.2248198,6144,1779545221.8922353,,,,,,,-0.006030497,,,
222,,10.2248198,6144,1779545221.8922353,,,1.9373612,,,,,,,
223,,10.2248198,6144,1779545221.8922353,,,,,,,,-0.0018688384,,
224,,10.2248198,6144,1779545221.8922353,,,,,,,,,0.0010090107,
225,,10.2248198,6144,1779545221.8922353,,,,0.0,,,,,,
226,,10.2248198,6144,1779545221.8922353,,,,,,,,,,-0.5279521
227,,10.2248198,6144,1779545221.893738,,,,,1177.0,,,,,
229,,10.2248198,6324,1779545221.993182,100.0,,,,,,,,,
230,0.0,10.2248198,6460,1779545222.0692878,,,,,,,,,,
233,,10.2248198,6460,1779545222.070076,100.0,,,,,,,,,
234,0.0,10.2248198,6460,1779545222.074307,,,,,,,,,,
235,,10.2248198,6460,1779545222.074307,100.0,,,,,,,,,
237,,10.2248198,6656,1779545222.3158166,,0.00032856446,,,,,,,,
238,,10.2248198,6656,1779545222.3158166,,,,,,,-0.0065729097,,,
240,,10.2248198,6656,1779545222.3158166,,,,,,,,-0.001669867,,
243,,10.2248198,6656,1779545222.3158166,,,,,,,,,,-4.5234737
244,,10.2248198,6656,1779545222.3183212,,,,,1179.0,,,,,
246,,10.2248198,6728,1779545222.3561168,100.0,,,,,,,,,
247,0.0,10.2248198,6864,1779545222.425004,,,,,,,,,,
249,0.0,10.2248198,6864,1779545222.425004,,,,,,,,,,
253,0.0,10.2248198,7132,1779545222.5617542,,,,,,,,,,
254,,10.2254062,7132,1779545222.5617542,100.0,,,,,,,,,
255,,10.2254062,7168,1779545222.7031267,,,,,,0.00024667007,,,,
256,,10.2254062,7168,1779545222.7031267,,0.0005108116,,,,,,,,
258,,10.2254062,7168,1779545222.7031267,,,1.9369082,,,,,,,
265,,10.2254062,7268,1779545222.7630053,100.0,,,,,,,,,
267,,10.2254062,7268,1779545222.7636063,100.0,,,,,,,,,
269,,10.2254062,7268,1779545222.7641098,100.0,,,,,,,,,
272,0.0,10.2254062,7672,1779545222.9851031,,,,,,,,,,
273,,10.2254062,7672,1779545222.985803,100.0,,,,,,,,,
276,0.0,10.2254062,7672,1779545222.9863052,,,,,,,,,,
277,,10.2254062,7672,1779545222.9863052,100.0,,,,,,,,,
279,,10.2254062,7680,1779545223.0976253,,0.0003062623,,,,,,,,
