Unloading shared
  WARNING: Did not unuse /cm/shared/modulefiles
[start] Sat May 23 02:18:03 PM CDT 2026  host=node048  task=4  policy=mlp  name=cond_C
name
NVIDIA L40S
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
global_step=400, episodic_return=0.0
SPS: 1009
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
global_step=804, episodic_return=0.0
SPS: 1500
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
global_step=1208, episodic_return=0.0
SPS: 1789
global_step=1612, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=1612, episodic_return=0.0
global_step=2016, episodic_return=0.0
global_step=2016, episodic_return=0.0
global_step=2016, episodic_return=0.0
global_step=2016, episodic_return=0.0
SPS: 1975
global_step=2420, episodic_return=0.0
global_step=2420, episodic_return=0.0
global_step=2420, episodic_return=0.0
global_step=2420, episodic_return=0.0
SPS: 2112
global_step=2824, episodic_return=0.0
global_step=2824, episodic_return=0.0
global_step=2824, episodic_return=0.0
global_step=2824, episodic_return=0.0
SPS: 2212
global_step=3228, episodic_return=0.0
global_step=3228, episodic_return=0.0
global_step=3228, episodic_return=0.0
global_step=3228, episodic_return=0.0
SPS: 2295
global_step=3632, episodic_return=0.0
global_step=3632, episodic_return=0.0
global_step=3632, episodic_return=0.0
global_step=3632, episodic_return=0.0
global_step=4036, episodic_return=0.0
global_step=4036, episodic_return=0.0
global_step=4036, episodic_return=0.0
global_step=4036, episodic_return=0.0
SPS: 2354
global_step=4440, episodic_return=0.0
global_step=4440, episodic_return=0.0
global_step=4440, episodic_return=0.0
global_step=4440, episodic_return=0.0
SPS: 2406
global_step=4844, episodic_return=0.0
global_step=4844, episodic_return=0.0
global_step=4844, episodic_return=0.0
global_step=4844, episodic_return=0.0
SPS: 2452
global_step=5248, episodic_return=0.0
global_step=5248, episodic_return=0.0
global_step=5248, episodic_return=0.0
global_step=5248, episodic_return=0.0
SPS: 2489
global_step=5652, episodic_return=0.0
global_step=5652, episodic_return=0.0
global_step=5652, episodic_return=0.0
global_step=5652, episodic_return=0.0
global_step=6056, episodic_return=0.0
global_step=6056, episodic_return=0.0
global_step=6056, episodic_return=0.0
global_step=6056, episodic_return=0.0
SPS: 2519
global_step=6460, episodic_return=0.0
global_step=6460, episodic_return=0.0
global_step=6460, episodic_return=0.0
global_step=6460, episodic_return=0.0
SPS: 2547
global_step=6864, episodic_return=0.0
global_step=6864, episodic_return=0.0
global_step=6864, episodic_return=0.0
global_step=6864, episodic_return=0.0
global_step=7104, episodic_return=0.469
SPS: 2570
global_step=7268, episodic_return=0.0
global_step=7268, episodic_return=0.0
global_step=7268, episodic_return=0.0
global_step=7508, episodic_return=0.0
global_step=7672, episodic_return=0.0
global_step=7672, episodic_return=0.0
global_step=7672, episodic_return=0.0
SPS: 2590
global_step=7912, episodic_return=0.0
global_step=8076, episodic_return=0.0
global_step=8076, episodic_return=0.0
global_step=8076, episodic_return=0.0
SPS: 2608
global_step=8316, episodic_return=0.0
global_step=8480, episodic_return=0.0
global_step=8480, episodic_return=0.0
global_step=8480, episodic_return=0.0
SPS: 2624
global_step=8720, episodic_return=0.0
global_step=8884, episodic_return=0.0
global_step=8884, episodic_return=0.0
global_step=8884, episodic_return=0.0
global_step=9124, episodic_return=0.0
SPS: 2639
global_step=9288, episodic_return=0.0
global_step=9288, episodic_return=0.0
global_step=9288, episodic_return=0.0
global_step=9528, episodic_return=0.0
global_step=9692, episodic_return=0.0
global_step=9692, episodic_return=0.0
global_step=9692, episodic_return=0.0
SPS: 2651
global_step=9828, episodic_return=0.703
global_step=9932, episodic_return=0.0
global_step=10096, episodic_return=0.0
global_step=10096, episodic_return=0.0
global_step=10232, episodic_return=0.0
SPS: 2664
global_step=10336, episodic_return=0.0
global_step=10500, episodic_return=0.0
global_step=10500, episodic_return=0.0
global_step=10636, episodic_return=0.0
global_step=10740, episodic_return=0.0
SPS: 2674
global_step=10904, episodic_return=0.0
global_step=10904, episodic_return=0.0
global_step=11040, episodic_return=0.0
global_step=11144, episodic_return=0.0
SPS: 2685
global_step=11308, episodic_return=0.0
global_step=11308, episodic_return=0.0
global_step=11444, episodic_return=0.0
global_step=11548, episodic_return=0.0
global_step=11712, episodic_return=0.0
global_step=11712, episodic_return=0.0
SPS: 2695
global_step=11848, episodic_return=0.0
global_step=11952, episodic_return=0.0
global_step=12116, episodic_return=0.0
global_step=12116, episodic_return=0.0
global_step=12252, episodic_return=0.0
SPS: 2704
global_step=12348, episodic_return=0.7929999999999999
global_step=12356, episodic_return=0.0
global_step=12520, episodic_return=0.0
global_step=12520, episodic_return=0.0
global_step=12752, episodic_return=0.0
global_step=12760, episodic_return=0.0
SPS: 2712
global_step=12924, episodic_return=0.0
global_step=12924, episodic_return=0.0
global_step=13156, episodic_return=0.0
global_step=13164, episodic_return=0.0
SPS: 2721
global_step=13328, episodic_return=0.0
global_step=13328, episodic_return=0.0
global_step=13560, episodic_return=0.0
global_step=13568, episodic_return=0.0
global_step=13732, episodic_return=0.0
global_step=13732, episodic_return=0.0
SPS: 2729
global_step=13964, episodic_return=0.0
global_step=13972, episodic_return=0.0
global_step=14136, episodic_return=0.0
global_step=14136, episodic_return=0.0
SPS: 2735
global_step=14368, episodic_return=0.0
global_step=14376, episodic_return=0.0
global_step=14540, episodic_return=0.0
global_step=14540, episodic_return=0.0
global_step=14652, episodic_return=0.757
global_step=14772, episodic_return=0.0
global_step=14780, episodic_return=0.0
SPS: 2741
global_step=14944, episodic_return=0.0
global_step=15056, episodic_return=0.0
global_step=15176, episodic_return=0.0
global_step=15184, episodic_return=0.0
global_step=15348, episodic_return=0.0
SPS: 2746
global_step=15460, episodic_return=0.0
global_step=15476, episodic_return=0.973
global_step=15580, episodic_return=0.0
global_step=15588, episodic_return=0.0
global_step=15740, episodic_return=0.649
global_step=15752, episodic_return=0.0
SPS: 2752
global_step=15880, episodic_return=0.0
global_step=15992, episodic_return=0.0
global_step=16144, episodic_return=0.0
global_step=16156, episodic_return=0.0
global_step=16284, episodic_return=0.0
SPS: 2757
global_step=16396, episodic_return=0.0
global_step=16452, episodic_return=0.883
global_step=16548, episodic_return=0.0
global_step=16560, episodic_return=0.0
global_step=16688, episodic_return=0.0
global_step=16856, episodic_return=0.0
SPS: 2762
global_step=16952, episodic_return=0.0
global_step=16964, episodic_return=0.0
global_step=17092, episodic_return=0.0
global_step=17260, episodic_return=0.0
global_step=17356, episodic_return=0.0
global_step=17368, episodic_return=0.0
SPS: 2764
global_step=17496, episodic_return=0.0
global_step=17664, episodic_return=0.0
global_step=17760, episodic_return=0.0
